India,13.5,12.4,12.1,9.7,8.9,8.9,9.4,10.1,10.1,11.5,11.7,13.4,13.5,13.6,13.5,14.7,17.9,20.1,20.6,23.9,27.5,31.8,37.3,39.7,37.3,37.0,39.3,39.2,42.8,48.2,49.0,52.3,52.8
Nepal,2.0,2.0,2.0,1.8,1.9,1.8,1.9,1.8,1.8,1.9,1.8,2.0,2.1,2.7,3.5,4.1,5.1,6.2,6.0,6.4,7.0,7.8,9.4,10.5,9.5,10.4,12.2,12.0,13.1,15.8,15.3,15.0,14.6
Pakistan,26.8,24.7,26.1,27.7,29.7,28.3,27.6,29.6,27.9,25.3,23.9,22.2,20.9,19.5,21.9,24.3,26.4,28.6,30.3,31.8,30.4,30.1,33.3,37.9,39.9,40.0,44.3,47.6,49.0,55.1,55.3,48.0,47.0
Malaysia,50.3,58.1,62.4,84.9,93.0,98.7,106.1,119.3,115.2,96.9,52.4,73.4,66.1,81.6,92.4,116.7,112.1,121.5,124.7,148.6,162.0,143.0,136.6,163.8,155.1,166.8,164.7,149.7,135.9,112.4,109.3,118.0,117.6
Myanmar,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,128.8,150.5,193.3,200.4,230.6,502.4,614.7,673.2,. .,. .,. .,. .,. .,. .,57.8,45.6,45.4,48.4,46.3,41.6,28.5,27.7,45.0
Philippines,15.8,15.8,15.4,14.4,16.6,17.6,20.4,24.4,26.3,21.6,16.4,17.6,16.7,14.1,14.7,15.7,14.7,15.9,18.3,22.5,25.0,22.9,25.9,28.3,29.8,34.2,30.9,32.7,32.1,38.9,26.7,32.1,34.1
Singapore,419.7,480.2,598.0,652.3,728.9,750.6,818.9,1041.6,1127.0,1187.9,1156.8,1136.1,1074.9,1056.9,1103.2,1144.0,1207.4,1280.9,1324.4,1423.7,1560.9,1517.7,1580.3,1695.1,1708.2,1713.6,1736.7,1678.0,1746.4,1783.2,1837.9,1837.0,1855.5
Thailand,33.0,34.8,39.1,45.4,51.2,54.1,61.3,64.7,65.5,53.7,34.3,33.0,29.9,27.1,28.3,29.3,28.7,30.3,37.1,53.2,67.1,71.8,73.9,81.7,81.0,86.6,83.7,83.3,85.2,91.3,99.0,104.6,105.2
Viet Nam,20.1,6.9,7.5,6.2,4.7,4.1,5.9,. .,. .,. .,. .,. .,. .,. .,. .,10.2,11.0,12.2,15.2,20.9,24.8,27.6,30.4,30.2,37.4,41.1,46.4,49.2,53.6,53.6,57.6,. .,. .
Australia,354.7,376.9,395.3,408.6,395.5,382.5,419.1,426.0,451.0,431.7,382.4,413.6,383.0,366.9,409.6,505.8,603.4,656.0,693.7,821.7,873.5,871.7,1048.0,1180.1,1144.6,1067.5,1092.7,1004.8,1087.4,1126.4,1078.0,1034.8,1079.9
New Zealand,288.6,285.5,311.3,287.0,248.5,243.2,270.3,312.0,333.1,314.7,256.2,254.1,222.4,203.9,218.5,281.7,315.0,336.1,349.7,404.9,388.3,375.4,441.8,470.8,468.8,472.3,497.9,421.2,449.3,495.1,532.3,611.9,624.5
Albania,. .,. .,. .,. .,9.7,12.3,15.8,16.4,14.8,9.6,10.8,13.7,14.5,17.0,18.8,24.4,32.5,35.7,46.0,64.2,85.1,61.5,63.1,67.3,62.9,62.0,61.5,45.8,45.3,50.1,61.0,68.5,77.2
